Time (UTC)	Intensity
2025-06-11 03:05:50.000363525+00:00	0.000000e+00
2025-06-11 03:05:58.000363525+00:00	0.000000e+00
2025-06-11 03:06:06.000363525+00:00	0.000000e+00
2025-06-11 03:06:08.000363525+00:00	0.000000e+00
2025-06-11 03:06:12.000363525+00:00	0.000000e+00
2025-06-11 03:06:19.000363525+00:00	0.000000e+00
2025-06-11 03:06:21.000363525+00:00	0.000000e+00
2025-06-11 03:06:27.000363525+00:00	0.000000e+00
2025-06-11 03:06:30.000363525+00:00	0.000000e+00
2025-06-11 03:06:34.000363525+00:00	0.000000e+00
2025-06-11 03:06:37.000363525+00:00	0.000000e+00
2025-06-11 03:06:38.000363525+00:00	0.000000e+00
2025-06-11 03:06:39.000363525+00:00	0.000000e+00
2025-06-11 03:06:40.000363525+00:00	0.000000e+00
2025-06-11 03:06:42.000363525+00:00	0.000000e+00
2025-06-11 03:06:43.000363525+00:00	0.000000e+00
2025-06-11 03:06:50.000363525+00:00	0.000000e+00
2025-06-11 03:07:02.000363525+00:00	0.000000e+00
2025-06-11 03:07:12.000363525+00:00	0.000000e+00
2025-06-11 03:07:13.000363525+00:00	0.000000e+00
2025-06-11 03:07:19.000363525+00:00	0.000000e+00
2025-06-11 03:07:21.000363525+00:00	0.000000e+00
2025-06-11 03:07:23.000363525+00:00	0.000000e+00
2025-06-11 03:07:28.000363525+00:00	0.000000e+00
2025-06-11 03:07:36.000363525+00:00	0.000000e+00
2025-06-11 03:07:39.000363525+00:00	0.000000e+00
2025-06-11 03:07:40.000363525+00:00	0.000000e+00
2025-06-11 03:07:46.000363525+00:00	0.000000e+00
2025-06-11 03:07:49.000363525+00:00	0.000000e+00
2025-06-11 03:07:53.000363525+00:00	1.640848e+11
2025-06-11 03:07:55.000363525+00:00	1.640869e+11
2025-06-11 03:08:03.000363525+00:00	1.640855e+11
2025-06-11 03:08:09.000363525+00:00	1.641035e+11
2025-06-11 03:08:11.000363525+00:00	1.640901e+11
2025-06-11 03:08:14.000363525+00:00	1.640859e+11
2025-06-11 03:08:18.000363525+00:00	1.640653e+11
2025-06-11 03:08:24.000363525+00:00	1.640741e+11
2025-06-11 03:08:26.000363525+00:00	1.640720e+11
2025-06-11 03:08:28.000363525+00:00	1.640762e+11
2025-06-11 03:08:32.000363525+00:00	1.640665e+11
2025-06-11 03:08:34.000363525+00:00	1.640737e+11
2025-06-11 03:08:49.000363525+00:00	1.640612e+11
2025-06-11 03:08:52.000363525+00:00	1.640616e+11
2025-06-11 03:08:53.000363525+00:00	1.640584e+11
2025-06-11 03:08:54.000363525+00:00	1.640660e+11
2025-06-11 03:08:57.000363525+00:00	1.640595e+11
2025-06-11 03:08:58.000363525+00:00	1.640549e+11
2025-06-11 03:08:59.000363525+00:00	1.640593e+11
2025-06-11 03:09:03.000363525+00:00	1.640614e+11
2025-06-11 03:09:07.000363525+00:00	1.640452e+11
2025-06-11 03:09:23.000363525+00:00	1.640473e+11
2025-06-11 03:09:25.000363525+00:00	1.640357e+11
2025-06-11 03:09:26.000363525+00:00	1.640294e+11
2025-06-11 03:09:27.000363525+00:00	1.640267e+11
2025-06-11 03:09:29.000363525+00:00	1.640409e+11
2025-06-11 03:09:32.000363525+00:00	1.640480e+11
2025-06-11 03:09:35.000363525+00:00	1.640380e+11
2025-06-11 03:09:36.000363525+00:00	1.640625e+11
2025-06-11 03:09:37.000363525+00:00	1.640348e+11
2025-06-11 03:09:38.000363525+00:00	1.640338e+11
2025-06-11 03:09:39.000363525+00:00	1.640273e+11
2025-06-11 03:09:41.000363525+00:00	1.640426e+11
2025-06-11 03:09:43.000363525+00:00	1.640461e+11
2025-06-11 03:09:46.000363525+00:00	1.640364e+11
2025-06-11 03:09:52.000363525+00:00	1.640364e+11
2025-06-11 03:09:58.000363525+00:00	1.640646e+11
2025-06-11 03:10:00.000363525+00:00	1.640288e+11
2025-06-11 03:10:01.000363525+00:00	1.640399e+11
2025-06-11 03:10:04.000363525+00:00	1.640305e+11
2025-06-11 03:10:05.000363525+00:00	1.641095e+11
2025-06-11 03:10:07.000363525+00:00	1.641248e+11
2025-06-11 03:10:08.000363525+00:00	1.641130e+11
2025-06-11 03:10:10.000363525+00:00	1.640156e+11
2025-06-11 03:10:15.000363525+00:00	1.640225e+11
2025-06-11 03:10:17.000363525+00:00	1.640396e+11
