slot	INJPHYS second time	INJPHYS second value
1202	2025-06-11 03:21:53.934000	153182568448.0
1204	2025-06-11 03:21:53.934000	155752693760.0
1214	2025-06-11 03:21:53.934000	154669236224.0
1223	2025-06-11 03:21:53.934000	150142500864.0
1231	2025-06-11 03:21:53.934000	138636705792.0
1245	2025-06-11 03:21:53.934000	156258942976.0
1247	2025-06-11 03:21:53.934000	155777269760.0
1266	2025-06-11 03:21:53.934000	160961986560.0
1298	2025-06-11 03:23:06.933993	158455808000.0
1304	2025-06-11 03:23:06.933993	171790843904.0
1314	2025-06-11 03:23:06.933993	159699648512.0
1324	2025-06-11 03:23:06.933993	157826613248.0
1333	2025-06-11 03:23:06.933993	147011354624.0
1341	2025-06-11 03:23:06.933993	138074963968.0
1355	2025-06-11 03:23:06.933993	158938873856.0
1357	2025-06-11 03:23:06.933993	159299698688.0
1367	2025-06-11 03:23:06.933993	154475593728.0
1376	2025-06-11 03:23:06.933993	142676623360.0
1384	2025-06-11 03:23:06.933993	140733825024.0
1398	2025-06-11 03:23:06.933993	162506260480.0
1400	2025-06-11 03:23:06.933993	152047370240.0
1410	2025-06-11 03:23:06.933993	163665100800.0
1419	2025-06-11 03:23:06.933993	155666743296.0
1427	2025-06-11 03:23:06.933993	142587183104.0
1441	2025-06-11 03:23:06.933993	156975923200.0
1443	2025-06-11 03:23:06.933993	161378795520.0
1462	2025-06-11 03:23:06.933993	161264762880.0
1494	2025-06-11 03:24:21.933995	155870707712.0
1500	2025-06-11 03:24:21.933995	169045114880.0
1510	2025-06-11 03:24:21.933995	156809674752.0
1520	2025-06-11 03:24:21.933995	159108399104.0
1529	2025-06-11 03:24:21.933995	141396017152.0
1537	2025-06-11 03:24:21.933995	142540111872.0
1551	2025-06-11 03:24:21.933995	155952431104.0
1553	2025-06-11 03:24:21.933995	153884819456.0
1563	2025-06-11 03:24:21.933995	155263057920.0
1572	2025-06-11 03:24:21.933995	149360427008.0
1580	2025-06-11 03:24:21.933995	141115965440.0
1594	2025-06-11 03:24:21.933995	162176335872.0
1596	2025-06-11 03:24:21.933995	147988725760.0
1606	2025-06-11 03:24:21.933995	165120622592.0
1615	2025-06-11 03:24:21.933995	161314390016.0
1623	2025-06-11 03:24:21.933995	137804513280.0
1637	2025-06-11 03:24:21.933995	164434313216.0
1639	2025-06-11 03:24:21.933995	153355141120.0
1658	2025-06-11 03:24:21.933995	157303750656.0
1690	2025-06-11 03:25:41.933993	165236015104.0
1696	2025-06-11 03:25:41.933993	168420327424.0
1706	2025-06-11 03:25:41.933993	159162384384.0
1716	2025-06-11 03:25:41.933993	158238375936.0
1725	2025-06-11 03:25:41.933993	145240571904.0
1733	2025-06-11 03:25:41.933993	144751362048.0
1747	2025-06-11 03:25:41.933993	158970920960.0
1749	2025-06-11 03:25:41.933993	149792178176.0
1759	2025-06-11 03:25:41.933993	153680560128.0
1768	2025-06-11 03:25:41.933993	143031222272.0
1776	2025-06-11 03:25:41.933993	142505967616.0
1790	2025-06-11 03:25:41.933993	159090753536.0
1792	2025-06-11 03:25:41.933993	155018477568.0
1811	2025-06-11 03:25:41.933993	152771706880.0
1843	2025-06-11 03:27:04.933992	155280408576.0
1849	2025-06-11 03:27:04.933992	165159567360.0
1859	2025-06-11 03:27:04.933992	154959478784.0
1869	2025-06-11 03:27:04.933992	155175501824.0
